id	migration	batch
151	2021_07_29_162336_add_schedule_order_column_to_restaurants_table	52
152	2021_07_31_140756_create_phone_verifications_table	53
153	2021_08_01_151717_add_column_to_order_transactions_table	54
154	2021_08_01_163520_add_column_to_admin_wallets_table	54
155	2021_08_02_141909_change_time_column_to_restaurants_table	55
157	2021_08_02_183356_add_tax_column_to_restaurants_table	56
158	2021_08_04_215618_add_zone_id_column_to_restaurants_table	57
159	2021_08_06_123001_add_address_column_to_orders_table	58
160	2021_08_06_123326_add_zone_wise_topic_column_to_zones_table	58
161	2021_08_08_112127_add_scheduled_column_on_orders_table	59
162	2021_08_08_203108_add_status_column_to_users_table	60
163	2021_08_11_193805_add_product_discount_ammount_column_to_orders_table	61
165	2021_08_12_112511_add_addons_column_to_order_details_table	62
166	2021_08_12_195346_add_zone_id_to_notifications_table	63
167	2021_08_14_110131_create_user_notifications_table	64
168	2021_08_14_175657_add_order_count_column_to_foods_table	65
169	2021_08_14_180044_add_order_count_column_to_users_table	65
170	2021_08_19_051055_add_earnign_column_to_deliverymen_table	66
171	2021_08_19_051721_add_original_delivery_charge_column_to_orders_table	66
172	2021_08_19_055839_create_provide_d_m_earnings_table	67
173	2021_08_19_112810_add_original_delivery_charge_column_to_order_transactions_table	67
174	2021_08_19_114851_add_columns_to_delivery_man_wallets_table	67
175	2021_08_21_162616_change_comission_column_to_restaurants_table	68
176	2021_06_17_054551_create_soft_credentials_table	69
177	2021_08_22_232507_add_failed_column_to_orders_table	69
178	2021_09_04_172723_add_column_reviews_section_to_restaurants_table	69
179	2021_09_11_164936_change_delivery_address_column_to_orders_table	70
180	2021_09_11_165426_change_address_column_to_customer_addresses_table	70
181	2021_09_23_120332_change_available_column_to_delivery_men_table	71
182	2021_10_03_214536_add_active_column_to_restaurants_table	72
183	2021_10_04_123739_add_priority_column_to_categories_table	72
184	2021_10_06_200730_add_restaurant_id_column_to_demiverymen_table	72
185	2021_10_07_223332_add_self_delivery_column_to_restaurants_table	72
186	2021_10_11_214123_change_add_ons_column_to_order_details_table	72
187	2021_10_11_215352_add_adjustment_column_to_orders_table	72
188	2021_10_24_184553_change_column_to_account_transactions_table	73
189	2021_10_24_185143_change_column_to_add_ons_table	73
190	2021_10_24_185525_change_column_to_admin_roles_table	73
191	2021_10_24_185831_change_column_to_admin_wallets_table	73
192	2021_10_24_190550_change_column_to_coupons_table	73
193	2021_10_24_190826_change_column_to_delivery_man_wallets_table	73
194	2021_10_24_191018_change_column_to_discounts_table	73
195	2021_10_24_191209_change_column_to_employee_roles_table	73
196	2021_10_24_191343_change_column_to_food_table	73
197	2021_10_24_191514_change_column_to_item_campaigns_table	73
198	2021_10_24_191626_change_column_to_orders_table	73
199	2021_10_24_191938_change_column_to_order_details_table	73
200	2021_10_24_192341_change_column_to_order_transactions_table	73
201	2021_10_24_192621_change_column_to_provide_d_m_earnings_table	73
202	2021_10_24_192820_change_column_type_to_restaurants_table	73
203	2021_10_24_192959_change_column_type_to_restaurant_wallets_table	73
204	2021_11_02_123115_add_delivery_time_column_to_restaurants_table	74
205	2021_11_02_170217_add_total_uses_column_to_coupons_table	74
206	2021_12_01_131746_add_status_column_to_reviews_table	75
207	2021_12_01_135115_add_status_column_to_d_m_reviews_table	75
208	2021_12_13_125126_rename_comlumn_set_menu_to_food_table	75
209	2021_12_13_132438_add_zone_id_column_to_admins_table	75
210	2021_12_18_174714_add_application_status_column_to_delivery_men_table	75
211	2021_12_20_185736_change_status_column_to_vendors_table	75
212	2021_12_22_114414_create_translations_table	75
213	2022_01_05_133920_add_sosial_data_column_to_users_table	75
214	2022_01_05_172441_add_veg_non_veg_column_to_restaurants_table	75
215	2022_01_20_151449_add_restaurant_id_column_on_employee_roles_table	76
216	2022_01_31_124517_add_veg_column_to_item_campaigns_table	76
217	2022_02_01_101248_change_coupon_code_column_length_to_coupons_table	76
218	2022_02_01_104336_change_column_length_to_notifications_table	76
219	2022_02_06_160701_change_column_length_to_item_campaigns_table	76
220	2022_02_06_161110_change_column_length_to_campaigns_table	76
221	2022_02_07_091359_add_zone_id_column_on_orders_table	76
222	2022_02_07_101547_change_name_column_to_categories_table	76
223	2022_02_07_152844_add_zone_id_column_to_order_transactions_table	76
224	2022_02_07_162330_add_zone_id_column_to_users_table	76
225	2022_02_07_173644_add_column_to_food_table	76
226	2022_02_07_181314_add_column_to_delivery_men_table	76
227	2022_02_07_183001_add_total_order_count_column_to_restaurants_table	76
228	2022_01_19_060356_create_restaurant_schedule_table	77
229	2022_03_31_103418_create_wallet_transactions_table	78
230	2022_03_31_103827_create_loyalty_point_transactions_table	78
231	2022_04_09_161150_add_wallet_point_columns_to_users_table	78
232	2022_04_12_121040_create_social_media_table	78
233	2022_04_17_140353_change_column_transaction_referance_to_orders_table	78
234	2022_04_10_030533_create_newsletters_table	79
235	2022_05_14_122133_add_dm_tips_column_to_orders_table	80
236	2022_05_14_122603_add_dm_tips_column_to_order_transactions_table	80
237	2022_05_14_131338_add_processing_time_column_to_orders_table	80
238	2022_05_17_153333_add_ref_code_to_users_table	80
239	2022_05_22_162129_add_new_columns_to_customer_addresses_table	80
240	2022_06_26_170341_add_delivery_fee_comission_to_ordertransactions	80
241	2022_06_29_112637_add_delivery_fee_column_to_zones_table	80
242	2022_06_29_125553_add_rename_delivery_charge_column_to_restaurants_table	80
243	2022_06_29_151416_create_time_logs_table	80
244	2022_07_31_103626_add_free_delivery_by_column_to_orders_table	81
245	2022_08_06_122044_create_user_infos_table	82
246	2022_08_06_124645_create_messages_table	82
247	2022_08_16_095504_update_converstions_table	82
248	2022_09_13_113428_change_data_column_to_user_notifications_table	83
249	2022_09_20_002050_create_refunds_table	84
250	2022_09_20_050949_add_refund_request_cancel_column_to_orders_table	84
251	2022_09_20_233442_create_refund_reasons_table	84
252	2022_09_29_095242_create_subscription_packages_table	84
253	2022_09_29_101701_create_restaurant_subscriptions_table	84
254	2022_09_29_102521_create_subscription_transactions_table	84
255	2022_10_04_094314_add_restaurant_model_column_to_restaurants_table	84
256	2022_11_05_105722_alter_table_order_details_change_variation	84
257	2022_11_13_144443_create_contact_messages_table	84
258	2022_11_16_091912_create_expenses_table	84
259	2022_11_16_092235_add_expense_column_to_order_transactions_table	84
260	2023_01_05_153438_add_status_col_to_campaign_restaurant_table	85
261	2023_01_07_162303_add_maximum_delivery_charge_col_to_zones_table	85
262	2023_01_07_162740_add_maximum_delivery_charge_col_to_restaurants_table	85
263	2023_01_08_104102_create_vehicles_table	85
264	2023_01_08_124859_add_vehicle_id_col_to_delivery_men_table	85
265	2023_01_08_152910_create_tags_table	85
266	2023_01_08_153321_create_food_tags_table	85
267	2023_01_09_115851_add_max_cod_order_amount_col_to_zones_table	85
268	2023_01_09_132704_create_order_cancel_reasons_table	85
269	2023_01_09_132841_add_cancellation_reason_col_to_orders_table	85
270	2023_01_09_173540_add_recommended_col_to_foods_table	85
271	2023_01_09_180114_create_cuisines_table	85
272	2023_01_09_180928_add_cuisine_id_col_to_restaurants_table	85
273	2023_01_10_112851_alter_refund_amount_col_to_refunds_table	85
274	2023_01_10_175439_add_tax_status_col_to_orders_table	85
275	2023_01_11_142252_add_customer_id_col_to_coupons_table	85
276	2023_01_12_142420_add_restaurant_id_col_to_expenses_table	85
277	2023_01_12_143506_add_restaurant_expense_col_to_order_transactions_table	85
278	2023_01_12_145658_add_coupon_created_by_col_to_orders_table	85
279	2023_01_14_103226_add_slug_by_col_to_campaigns_table	85
280	2023_01_14_105544_add_slug_col_to_categories_table	85
281	2023_01_14_105607_add_slug_by_col_to_restaurants_table	85
282	2023_01_24_152947_add_vehicle_id_col_to_orders_table	85
283	2023_01_25_133959_add_slug_col_to_food_table	85
284	2023_01_25_145750_add_slug_col_to_item_campaigns_table	85
285	2023_01_28_100238_remane_discription_col_to__order_id_to_expenses_table	85
286	2023_01_28_100425_add_description_col_to_expenses_table	85
287	2023_01_28_161813_create_cuisine_restaurants_table	85
288	2023_01_28_185144_remove_col_cuisine_id_from_restaurant_table	85
289	2023_01_30_121227_add_col_to_discount_on_product_by_order_table	85
290	2023_02_01_114155_add_distance_col_to_orders_table	85
291	2023_02_01_151408_add_commission_percentage_col_to_order_transactions_table	85
292	2023_02_01_182929_add_discount_amount_by_restaurant_col_to_order_transactions_table	85
293	2023_02_06_121643_add_fcm_token_web_to_vendors_table	85
294	2023_02_08_113749_add_ref_by_col_to_users_table	86
295	2023_02_08_163747_create_withdrawal_methods_table	86
296	2023_02_08_165109_add_cols_to_withdraw_requests_table	86
297	2023_02_14_112313_create_incentive_logs_table	86
298	2023_02_14_112417_create_incentives_table	86
299	2023_02_14_165851_add_delivery_man_id_col_to_wallet_transactions_table	86
300	2023_02_14_172250_change_amount_col_to_expenses_table	86
301	2023_02_15_131107_add_otp_hit_count_cols_in_phone_verifications_table	86
302	2023_02_16_104809_add_hit_count_at_col_in_password_resets_table	86
303	2023_02_16_123420_add_increased_delivery_fee_in_zones_table	86
304	2023_02_16_145350_create_shifts_table	86
305	2023_02_16_145830_add_shift_id_col_to_time_logs_table	86
306	2023_02_16_145934_add_shift_id_col_to_delivery_men_table	86
307	2023_02_18_070327_create_subscriptions_table	86
308	2023_02_18_070628_create_subscription_logs_table	86
309	2023_02_18_070757_create_subscription_pauses_table	86
310	2023_02_18_070826_create_subscription_schedules_table	86
311	2023_02_18_071042_add_subscription_id_col_to_order_table	86
312	2023_02_18_071609_add_is_subscription_order_col_to_order_transactions_table	86
313	2023_02_19_164536_create_visitor_logs_table	86
314	2023_03_11_120645_add_temp_block_time_col_to_phone_verifications_table	86
315	2023_03_11_121000_add_temp_block_time_col_to_password_resets_table	86
316	2023_03_16_163907_add_order_subscription_col_in_restaurant_table	86
317	2023_03_18_121906_add_order_cancel_note_col_in_orders_table	86
318	2023_03_18_144849_add_temp_token_col_in_users_table	86
319	2023_03_19_153620_add_increase_delivery_charge_message_col_in_zones_table	86
320	2023_03_13_144714_create_logs_table	87
321	2023_04_08_132653_add_created_by_col_to_password_resets_table	87
322	2023_04_17_112228_create_notification_messages_table	87
323	2023_05_07_155839_change_delivery_charge_col_in_admin_wallets_table	87
324	2023_05_10_162452_create_admin_testimonials_table	87
325	2023_05_10_184114_create_data_settings_table	87
326	2023_05_13_115610_create_admin_features_table	87
327	2023_05_14_092428_create_react_services_table	87
328	2023_05_14_104308_create_react_promotional_banners_table	87
329	2023_05_18_161133_create_email_templates_table	87
330	2023_05_31_154309_create_admin_special_criterias_table	87
331	2023_06_11_040112_add_cutlery_col_in_orders_table	87
332	2023_06_11_171524_change_delivery_time_col_in_restaurants_table	87
333	2023_06_13_112622_add_cutlery_on_restaurants_table	87
334	2023_07_05_135741_add_service_charge_col_to_orders_table	88
335	2023_07_05_145800_add_service_charge_col_to_order_transactions_table	88
336	2023_07_25_130949_create_wallet_payments_table	88
337	2023_07_25_131036_create_wallet_bonuses_table	88
338	2023_07_25_131958_add_user_id_col_expenses_table	88
339	2023_07_26_171058_create_order_payments_table	88
340	2023_07_31_235517_add_maximum_cart_quantity_col_to_food	88
341	2023_07_31_235555_add_maximum_cart_quantity_col_to_item_campaigns	88
342	2023_08_02_043239_add_meta_data_to_restaurants_table	88
343	2023_08_05_232205_add_payment_status_to_subscription_transactions_table	88
344	0000_00_00_000000_create_websockets_statistics_entries_table	89
345	2023_08_30_130431_create_offline_payment_methods_table	89
346	2023_08_30_130446_create_offline_payments_table	89
347	2023_08_30_162632_add_announcement_cols_to_restaurants_table	89
348	2023_08_30_171559_create_guests_table	89
349	2023_08_30_181336_add_is_guest_col_to_orders_table	89
350	2023_09_03_174650_add_qr_code_col_to_restaurants_table	89
351	2023_10_02_114519_create_carts_table	89
352	2023_10_04_142129_add_free_delivery_distance_col_to_restaurants_table	89
353	2023_10_18_124954_create_restaurant_configs_table	89
354	2023_10_19_093057_create_restaurant_tags_table	89
355	2023_10_22_183705_add_additional_data_col_in_restaurants_table	89
356	2023_10_25_173519_add_additional_data_col_to_delivery_men_table	89
357	2023_10_26_105254_change_name_col_on_user_infos	89
358	2023_10_29_114625_add_created_by_col_to_account_transactions_table	89
359	2023_10_29_161701_create_disbursements_table	89
360	2023_10_29_161757_create_disbursement_details_table	89
361	2023_10_29_183055_create_disbursement_withdrawal_methods_table	89
362	2023_10_30_093234_add_type_col_to_withdraw_requests_table	89
363	2023_11_21_132325_add_current_language_key_col_to_users_table	90
364	2024_03_09_094824_add_is_default_col_to_order_cancel_reasons_table	91
365	2024_03_19_124736_add_halal_tag_status_col_to_restaurant_configs_table	91
366	2024_03_19_132910_add_is_halal_col_to_food_table	91
367	2024_03_21_113032_add_body_2_col_to_email_templates	91
368	2024_04_21_041436_create_cash_backs_table	92
369	2024_04_21_042152_create_cash_back_histories_table	92
370	2024_04_21_115033_add_cashback_ref_amount_cols_to_orders_table	92
371	2024_04_21_115411_add_extra_packaging_cols_to_restaurant_configs_table	92
372	2024_04_21_124756_add_extra_packaging_ref_bonus_amount_col_to_order_transactions_table	92
373	2024_04_21_134012_add_reply_col_to_reviews_table	92
374	2024_04_22_112655_create_variations_table	92
375	2024_04_22_112708_create_variation_options_table	92
376	2024_04_22_115714_create_characteristics_table	92
377	2024_04_22_115813_create_characteristic_restaurants_table	92
378	2024_04_22_164150_add_stock_col_to_food_table	92
379	2024_04_24_115636_create_priority_lists_table	92
380	2024_04_24_124714_add_variation_option_col_on_cart_table	92
381	2024_04_24_173317_add_stock_col_to_add_ons_table	92
382	2024_06_06_115927_create_storages_table	93
383	2024_06_08_114756_create_advertisements_table	93
384	2024_06_15_130020_create_notification_settings_table	93
385	2024_06_26_044400_add_change_file_col_to_messages_table	93
386	2024_06_30_030925_create_restaurant_notification_settings_table	93
387	2024_08_12_154153_create_cache_table	94
388	2024_08_24_110338_add_some_new_cols_to_restaurant_subscriptions_table	95
389	2024_08_24_111725_add_some_new_cols_to_subscription_transactions_table	95
390	2024_08_25_175919_create_subscription_billing_and_refund_histories_table	95
391	2024_09_30_154821_add_is_email_verified_col_to_users_table	95
392	2024_10_01_164138_add_package_id_col_to_restaurants_table	95
393	2024_10_03_153429_add_display_name_col_to_zones_table	95
394	2024_10_05_001615_create_allergies_table	95
395	2024_10_05_001629_create_nutritions_table	95
396	2024_10_05_001848_create_allergy_food_table	95
397	2024_10_05_001952_create_food_nutrition_table	95
398	2024_10_19_134056_add_phone_col_to_password_resets_table	95
399	2024_11_07_110310_add_dine_in_col_to_restaurant_configs	96
400	2024_11_10_162613_create_order_references_table	96
401	2025_02_06_034224_add_to_col_orders_table	97
402	2025_03_09_040916_create_recent_searches_table	97
403	2025_04_20_051619_create_react_opportunities_table	98
404	2025_04_21_110215_create_react_faqs_table	98
405	2025_07_06_080000_create_stories_tables	99
406	2025_07_06_080100_add_story_flags_to_restaurants_table	100
407	2025_05_26_115043_create_system_tax_setups_table	101
408	2025_05_26_115643_create_taxes_table	101
409	2025_05_26_120030_create_tax_additional_setups_table	101
410	2025_05_26_120912_create_taxables_table	101
411	2025_05_26_121656_create_order_taxes_table	101
412	2025_06_01_130624_add_addon_category_id_col_to_add_ons_table	102
413	2025_06_14_103839_create_addon_categories_table	102
414	2025_06_25_174502_add_to_cols_restaurants_table	102
415	2025_07_02_032306_add_to_cols_order_details_table	102
416	2025_07_06_070056_add_tax_type_col_to_order_table	102
417	2025_10_01_142121_fix_restaurant_wallets_primary_key	102
418	2025_10_01_151053_fix_add_ons_primary_key	102
419	2025_10_01_160137_fix_taxables_primary_key	102
420	2025_10_01_161828_fix_all_missing_auto_increment_on_id_columns	102
421	2025_10_03_123607_add_emoji_profile_fields_to_users_table	103
422	2025_10_12_000000_add_performance_indexes	103
